time;SmartMeter-House-8: W-power.real.c.ELECTRICITY;Battery-House-8: W-power.real.c.ELECTRICITY;Battery-House-8: Wh-energy.soc;DishWasher-House-8: W-power.real.c.ELECTRICITY;DomesticHotWaterControllerBoiler-House-8: W-power.real.c.ELECTRICITY;DomesticHotWaterControllerBoiler-House-8: Wh-energy.soc;Load-House-8: W-power.real.c.ELECTRICITY;HeatPump-House-8: W-power.real.c.ELECTRICITY;HeatPump-House-8: Wh-energy.soc;PV-House-8: W-power.real.c.ELECTRICITY;WashingMachine-House-8: W-power.real.c.ELECTRICITY
482700;1603.0;-100;0;0.0;0.0;0.0;243.0;884.1813723233797;43651.761297122066;-174.0749873950044;0.0
482760;1603.0;100;12000;0.0;0.0;0.0;243.0;884.1813723233797;43710.70672194362;-172.3924084720014;0.0
482820;1603.0;-100;0;0.0;0.0;0.0;243.0;884.1813723233797;43769.65214676518;-170.71031830579923;0.0
482880;1603.0;100;12000;0.0;0.0;0.0;243.0;884.1813723233797;43828.59757158673;-169.02871460237319;0.0
482940;1603.0;-100;0;0.0;0.0;0.0;243.0;884.1813723233797;43887.54299640829;-167.34759512315267;0.0
483000;1603.0;100;12000;0.0;0.0;0.0;243.0;884.1813723233797;43946.48842122984;-165.66695768481304;0.0
483060;1603.0;-100;0;0.0;0.0;0.0;243.0;884.1813723233797;44005.4338460514;-163.98680015909716;0.0
483120;1603.0;100;12000;0.0;0.0;0.0;243.0;884.1813723233797;44064.37927087295;-162.30712047266812;0.0
483180;1603.0;-100;0;0.0;0.0;0.0;192.0;884.1813723233797;44123.32469569451;-160.6279166069933;0.0
483240;1603.0;100;12000;0.0;0.0;0.0;192.0;884.1813723233797;44182.27012051606;-158.94918659819837;0.0
483300;1793.0;-100;0;0.0;0.0;0.0;192.0;1019.1395708839516;44241.21554533762;-157.2709285372772;0.0
483360;1793.0;100;12000;0.0;0.0;0.0;192.0;1019.1395708839516;44309.15818339655;-155.5931405696902;0.0
483420;1793.0;-100;0;0.0;0.0;0.0;192.0;1019.1395708839516;44377.100821455475;-153.91582089565077;0.0
483480;1793.0;100;12000;0.0;0.0;0.0;140.0;1019.1395708839516;44445.0434595144;-152.23896777012078;0.0
483540;1793.0;-100;0;0.0;0.0;0.0;140.0;1019.1395708839516;44512.98609757333;-150.56257950291618;0.0
483600;1793.0;100;12000;0.0;0.0;0.0;140.0;1019.1395708839516;44580.92873563226;-148.88665445884973;0.0
483660;1793.0;-100;0;0.0;0.0;0.0;140.0;1019.1395708839516;44648.87137369119;-147.21119105792013;0.0
483720;1793.0;100;12000;0.0;0.0;0.0;140.0;1019.1395708839516;44716.81401175012;-145.5361877755454;0.0
483780;1793.0;-100;0;0.0;0.0;0.0;140.0;1019.1395708839516;44784.756649809045;-143.86164314284224;0.0
483840;1779.0;100;12000;0.0;0.0;0.0;140.0;1019.1395708839516;44852.699287867974;-142.18755574695695;0.0
483900;1779.0;-100;0;0.0;0.0;0.0;140.0;1019.1395708839516;44920.6419259269;-140.5139242313915;0.0
483960;1779.0;100;12000;0.0;0.0;0.0;140.0;1019.1395708839516;44988.58456398583;-138.84074729665554;0.0
484020;1779.0;-100;0;0.0;0.0;0.0;140.0;1019.1395708839516;45056.52720204476;-137.16802370043044;0.0
484080;1779.0;100;12000;0.0;0.0;0.0;140.0;1019.1395708839516;45124.46984010369;-135.49575225833698;0.0
484140;1779.0;-100;0;0.0;0.0;0.0;140.0;1019.1395708839516;45192.412478162616;-133.8239318444923;0.0
484200;1598.0;100;12000;0.0;0.0;0.0;140.0;823.9501928984189;45260.355116221544;-132.15256139218445;0.0
484260;1598.0;-100;0;0.0;0.0;0.0;140.0;823.9501928984189;45315.285129081436;-133.09074506981767;0.0
484320;1598.0;100;12000;0.0;0.0;0.0;140.0;823.9501928984189;45370.21514194133;-134.0294257792459;0.0
484380;1598.0;-100;0;0.0;0.0;0.0;140.0;823.9501928984189;45425.14515480122;-134.96861324863437;0.0
484440;1598.0;100;12000;0.0;0.0;0.0;140.0;823.9501928984189;45480.07516766111;-135.9083175072578;0.0
484500;1598.0;-100;0;0.0;0.0;0.0;140.0;823.9501928984189;45535.005180521;-136.848548896584;0.0
484560;1598.0;100;12000;0.0;0.0;0.0;140.0;823.9501928984189;45589.935193380894;-137.78931808177768;0.0
484620;1598.0;-100;0;0.0;0.0;0.0;140.0;823.9501928984189;45644.865206240785;-138.7306360639828;0.0
