time;SmartMeter-House-8: W-power.real.c.ELECTRICITY;SmartMeter-House-8: Wh-energy.c.ELECTRICITY;Load-House-8: W-power.real.c.ELECTRICITY;Load-House-8: W-power.plan.real.c.ELECTRICITY;WashingMachine-House-8: W-power.real.c.ELECTRICITY;Dishwasher-House-8: W-power.real.c.ELECTRICITY;Battery-House-8: W-power.real.c.ELECTRICITY;Battery-House-8: W-power.plan.real.c.ELECTRICITY;Battery-House-8: Wh-energy.soc;Battery-House-8: W-power.real.secondary;Heatpump-House-8: W-power.real.c.ELECTRICITY;Heatpump-House-8: W-power.plan.real.c.ELECTRICITY;Heatpump-House-8: W-power.real.c.HEAT;Heatpump-House-8: W-power.plan.real.c.HEAT;Heatpump-House-8: W-heat.supply.dhwtaps;Heatpump-House-8: W-heat.supply.zones;Heatpump-House-8: W-heat.production;Heatpump-House-8: Wh-energy.soc;DomesticHotWaterControllerBoiler-House-8: W-power.real.c.ELECTRICITY;DomesticHotWaterControllerBoiler-House-8: W-power.plan.real.c.ELECTRICITY;DomesticHotWaterControllerBoiler-House-8: W-power.real.c.HEAT;DomesticHotWaterControllerBoiler-House-8: W-power.plan.real.c.HEAT;DomesticHotWaterControllerBoiler-House-8: W-heat.supply.dhwtaps;DomesticHotWaterControllerBoiler-House-8: W-heat.supply.zones;DomesticHotWaterControllerBoiler-House-8: W-heat.production;DomesticHotWaterControllerBoiler-House-8: Wh-energy.soc;PV-House-8: W-power.real.c.ELECTRICITY;PV-House-8: W-power.plan.real.c.ELECTRICITY
3120;1381.0;23.016666666666666;140.0;142.16666666666669;0.0;0.0;287.0;284.8598819825738;2207.5500000000006;0;954.4465616081226;954.4465616081226;-4500.0;3817.7862464324903;0.0;-4500.0;3817.7862464324903;24221.31116228413;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
3180;1381.0;23.016666666666666;140.0;142.16666666666669;0.0;0.0;287.0;284.8598819825738;2212.333333333334;0;954.4465616081226;954.4465616081226;-4500.0;3817.7862464324903;0.0;-4500.0;3817.7862464324903;24209.940933058006;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
3240;1381.0;23.016666666666666;140.0;142.16666666666669;0.0;0.0;287.0;284.8598819825738;2217.1166666666672;0;954.4465616081226;954.4465616081226;-4500.0;3817.7862464324903;0.0;-4500.0;3817.7862464324903;24198.57070383188;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
3300;1381.0;23.016666666666666;140.0;142.16666666666669;0.0;0.0;287.0;284.8598819825738;2221.9000000000005;0;954.4465616081226;954.4465616081226;-4500.0;3817.7862464324903;0.0;-4500.0;3817.7862464324903;24187.200474605754;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
3360;1381.0;23.016666666666666;140.0;142.16666666666669;0.0;0.0;287.0;284.8598819825738;2226.683333333334;0;954.4465616081226;954.4465616081226;-4500.0;3817.7862464324903;0.0;-4500.0;3817.7862464324903;24175.830245379628;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
3420;1381.0;23.016666666666666;140.0;142.16666666666669;0.0;0.0;287.0;284.8598819825738;2231.466666666667;0;954.4465616081226;954.4465616081226;-4500.0;3817.7862464324903;0.0;-4500.0;3817.7862464324903;24164.4600161535;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
3480;1381.0;23.016666666666666;140.0;142.16666666666669;0.0;0.0;287.0;284.8598819825738;2236.2500000000005;0;954.4465616081226;954.4465616081226;-4500.0;3817.7862464324903;0.0;-4500.0;3817.7862464324903;24153.089786927376;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
3540;1381.0;23.016666666666666;140.0;142.16666666666669;0.0;0.0;287.0;284.8598819825738;2241.0333333333338;0;954.4465616081226;954.4465616081226;-4500.0;3817.7862464324903;0.0;-4500.0;3817.7862464324903;24141.71955770125;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
3600;1316.0;21.933333333333334;140.0;152.45833333333331;0.0;0.0;272.0;259.2231736492404;2245.816666666667;0;904.6811866081226;904.6811866081226;-4500.0;3618.7247464324905;0.0;-4500.0;3618.7247464324905;24130.349328475124;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
3660;1316.0;21.933333333333334;140.0;152.45833333333331;0.0;0.0;272.0;259.2231736492404;2250.3500000000004;0;904.6811866081226;904.6811866081226;-4500.0;3618.7247464324905;0.0;-4500.0;3618.7247464324905;24115.66140758233;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
3720;1316.0;21.933333333333334;140.0;152.45833333333331;0.0;0.0;272.0;259.2231736492404;2254.8833333333337;0;904.6811866081226;904.6811866081226;-4500.0;3618.7247464324905;0.0;-4500.0;3618.7247464324905;24100.973486689538;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
3780;1316.0;21.933333333333334;140.0;152.45833333333331;0.0;0.0;272.0;259.2231736492404;2259.416666666667;0;904.6811866081226;904.6811866081226;-4500.0;3618.7247464324905;0.0;-4500.0;3618.7247464324905;24086.285565796745;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
3840;1316.0;21.933333333333334;140.0;152.45833333333331;0.0;0.0;272.0;259.2231736492404;2263.9500000000003;0;904.6811866081226;904.6811866081226;-4500.0;3618.7247464324905;0.0;-4500.0;3618.7247464324905;24071.59764490395;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
3900;1316.0;21.933333333333334;140.0;152.45833333333331;0.0;0.0;272.0;259.2231736492404;2268.4833333333336;0;904.6811866081226;904.6811866081226;-4500.0;3618.7247464324905;0.0;-4500.0;3618.7247464324905;24056.90972401116;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
3960;1316.0;21.933333333333334;140.0;152.45833333333331;0.0;0.0;272.0;259.2231736492404;2273.016666666667;0;904.6811866081226;904.6811866081226;-4500.0;3618.7247464324905;0.0;-4500.0;3618.7247464324905;24042.221803118366;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
4020;1316.0;21.933333333333334;140.0;152.45833333333331;0.0;0.0;272.0;259.2231736492404;2277.55;0;904.6811866081226;904.6811866081226;-4500.0;3618.7247464324905;0.0;-4500.0;3618.7247464324905;24027.533882225573;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
4080;1316.0;21.933333333333334;140.0;152.45833333333331;0.0;0.0;272.0;259.2231736492404;2282.0833333333335;0;904.6811866081226;904.6811866081226;-4500.0;3618.7247464324905;0.0;-4500.0;3618.7247464324905;24012.84596133278;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
4140;1316.0;21.933333333333334;140.0;152.45833333333331;0.0;0.0;272.0;259.2231736492404;2286.616666666667;0;904.6811866081226;904.6811866081226;-4500.0;3618.7247464324905;0.0;-4500.0;3618.7247464324905;23998.158040439987;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
4200;1316.0;21.933333333333334;140.0;152.45833333333331;0.0;0.0;272.0;259.2231736492404;2291.15;0;904.6811866081226;904.6811866081226;-4500.0;3618.7247464324905;0.0;-4500.0;3618.7247464324905;23983.470119547193;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
