time;SmartMeter-House-1: W-power.real.c.ELECTRICITY;SmartMeter-House-1: Wh-energy.c.ELECTRICITY;Load-House-1: W-power.real.c.ELECTRICITY;Load-House-1: W-power.plan.real.c.ELECTRICITY;WashingMachine-House-1: W-power.real.c.ELECTRICITY;Dishwasher-House-1: W-power.real.c.ELECTRICITY;ElectricVehicle-House-1: W-power.real.c.ELECTRICITY;ElectricVehicle-House-1: Wh-energy.soc;Heatpump-House-1: W-power.real.c.ELECTRICITY;Heatpump-House-1: W-power.plan.real.c.ELECTRICITY;Heatpump-House-1: W-power.real.c.HEAT;Heatpump-House-1: W-power.plan.real.c.HEAT;Heatpump-House-1: W-heat.supply.dhwtaps;Heatpump-House-1: W-heat.supply.zones;Heatpump-House-1: W-heat.production;Heatpump-House-1: Wh-energy.soc;DomesticHotWaterControllerBoiler-House-1: W-power.real.c.ELECTRICITY;DomesticHotWaterControllerBoiler-House-1: W-power.plan.real.c.ELECTRICITY;DomesticHotWaterControllerBoiler-House-1: W-power.real.c.HEAT;DomesticHotWaterControllerBoiler-House-1: W-power.plan.real.c.HEAT;DomesticHotWaterControllerBoiler-House-1: W-heat.supply.dhwtaps;DomesticHotWaterControllerBoiler-House-1: W-heat.supply.zones;DomesticHotWaterControllerBoiler-House-1: W-heat.production;DomesticHotWaterControllerBoiler-House-1: Wh-energy.soc;PV-House-1: W-power.real.c.ELECTRICITY;PV-House-1: W-power.plan.real.c.ELECTRICITY
21240;1323.0;22.05;199.0;171.29375;0.0;0.0;0.0;50000.0;1124.9999999999998;1124.9999999999998;-4500.0;4499.999999999999;0.0;-4500.0;4499.999999999999;25143.797605109135;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
21300;1390.0;23.166666666666668;266.0;171.29375;0.0;0.0;0.0;50000.0;1124.9999999999998;1124.9999999999998;-4500.0;4499.999999999999;0.0;-4500.0;4499.999999999999;25143.797605109135;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
21360;1390.0;23.166666666666668;266.0;171.29375;0.0;0.0;0.0;50000.0;1124.9999999999998;1124.9999999999998;-4500.0;4499.999999999999;0.0;-4500.0;4499.999999999999;25143.797605109135;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
21420;1390.0;23.166666666666668;266.0;171.29375;0.0;0.0;0.0;50000.0;1124.9999999999998;1124.9999999999998;-4500.0;4499.999999999999;0.0;-4500.0;4499.999999999999;25143.797605109135;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
21480;1390.0;23.166666666666668;266.0;171.29375;0.0;0.0;0.0;50000.0;1124.9999999999998;1124.9999999999998;-4500.0;4499.999999999999;0.0;-4500.0;4499.999999999999;25143.797605109135;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
21540;1390.0;23.166666666666668;266.0;171.29375;0.0;0.0;0.0;50000.0;1124.9999999999998;1124.9999999999998;-4500.0;4499.999999999999;0.0;-4500.0;4499.999999999999;25143.797605109135;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
21600;1390.0;23.166666666666668;266.0;152.04375000000002;0.0;0.0;0.0;50000.0;1124.9999999999998;1124.9999999999998;-4500.0;4499.999999999999;0.0;-4500.0;4499.999999999999;25143.797605109135;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
21660;1390.0;23.166666666666668;266.0;152.04375000000002;0.0;0.0;0.0;50000.0;1124.9999999999998;1124.9999999999998;-4500.0;4499.999999999999;0.0;-4500.0;4499.999999999999;25143.797605109135;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
21720;1390.0;23.166666666666668;266.0;152.04375000000002;0.0;0.0;0.0;50000.0;1124.9999999999998;1124.9999999999998;-4500.0;4499.999999999999;0.0;-4500.0;4499.999999999999;25143.797605109135;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
21780;1326.0;22.1;202.0;152.04375000000002;0.0;0.0;0.0;50000.0;1124.9999999999998;1124.9999999999998;-4500.0;4499.999999999999;0.0;-4500.0;4499.999999999999;25143.797605109135;0.0;0.0;0.0;0;0.0;0.0;0;0.0;-0.0;-0.0
