time;W-power.real.c.NATGAS;W-power.real.c.HEAT;W-heat.supply.dhwtaps;W-heat.supply.zones;W-heat.production;Wh-energy.soc
16200;0.0;0.0;0.0;0.0;-0.0;25000.0
16260;0.0;0.0;0.0;0.0;-0.0;25000.0
16320;0.0;0.0;0.0;0.0;-0.0;25000.0
16380;0.0;0.0;0.0;0.0;-0.0;25000.0
16440;0.0;0.0;0.0;0.0;-0.0;25000.0
16500;0.0;0.0;0.0;0.0;-0.0;25000.0
16560;0.0;0.0;0.0;0.0;-0.0;25000.0
16620;0.0;0.0;0.0;0.0;-0.0;25000.0
16680;0.0;0.0;0.0;0.0;-0.0;25000.0
16740;0.0;0.0;0.0;0.0;-0.0;25000.0
16800;0.0;0.0;0.0;0.0;-0.0;25000.0
16860;0.0;0.0;0.0;0.0;-0.0;25000.0
16920;0.0;0.0;0.0;0.0;-0.0;25000.0
16980;0.0;0.0;0.0;0.0;-0.0;25000.0
17040;0.0;0.0;0.0;0.0;-0.0;25000.0
17100;0.0;0.0;0.0;0.0;-0.0;25000.0
17160;0.0;0.0;0.0;0.0;-0.0;25000.0
17220;0.0;0.0;0.0;0.0;-0.0;25000.0
17280;0.0;0.0;0.0;0.0;-0.0;25000.0
17340;0.0;0.0;0.0;0.0;-0.0;25000.0
17400;0.0;0.0;0.0;0.0;-0.0;25000.0
17460;0.0;0.0;0.0;0.0;-0.0;25000.0
17520;0.0;0.0;0.0;0.0;-0.0;25000.0
17580;0.0;0.0;0.0;0.0;-0.0;25000.0
17640;0.0;0.0;0.0;0.0;-0.0;25000.0
17700;0.0;0.0;0.0;0.0;-0.0;25000.0
17760;0.0;0.0;0.0;0.0;-0.0;25000.0
17820;0.0;0.0;0.0;0.0;-0.0;25000.0
17880;0.0;0.0;0.0;0.0;-0.0;25000.0
17940;0.0;0.0;0.0;0.0;-0.0;25000.0
18000;0.0;0.0;0.0;0.0;-0.0;25000.0
18060;0.0;0.0;0.0;0.0;-0.0;25000.0
18120;0.0;0.0;0.0;0.0;-0.0;25000.0
18180;0.0;0.0;0.0;0.0;-0.0;25000.0
18240;0.0;0.0;0.0;0.0;-0.0;25000.0
18300;0.0;0.0;0.0;0.0;-0.0;25000.0
18360;0.0;0.0;0.0;0.0;-0.0;25000.0
18420;0.0;0.0;0.0;0.0;-0.0;25000.0
18480;0.0;0.0;0.0;0.0;-0.0;25000.0
18540;0.0;0.0;0.0;0.0;-0.0;25000.0
18600;0.0;0.0;0.0;0.0;-0.0;25000.0
18660;0.0;0.0;0.0;0.0;-0.0;25000.0
18720;0.0;0.0;0.0;0.0;-0.0;25000.0
18780;0.0;0.0;0.0;0.0;-0.0;25000.0
18840;0.0;0.0;0.0;0.0;-0.0;25000.0
18900;0.0;0.0;0.0;0.0;-0.0;25000.0
18960;0.0;0.0;0.0;0.0;-0.0;25000.0
19020;0.0;0.0;0.0;0.0;-0.0;25000.0
19080;0.0;0.0;0.0;0.0;-0.0;25000.0
19140;0.0;0.0;0.0;0.0;-0.0;25000.0
19200;0.0;0.0;0.0;0.0;-0.0;25000.0
19260;0.0;0.0;0.0;0.0;-0.0;25000.0
19320;0.0;0.0;0.0;0.0;-0.0;25000.0
19380;0.0;0.0;0.0;0.0;-0.0;25000.0
19440;0.0;0.0;0.0;0.0;-0.0;25000.0
19500;0.0;0.0;0.0;0.0;-0.0;25000.0
19560;0.0;0.0;0.0;0.0;-0.0;25000.0
19620;0.0;0.0;0.0;0.0;-0.0;25000.0
19680;0.0;0.0;0.0;0.0;-0.0;25000.0
19740;0.0;0.0;0.0;0.0;-0.0;25000.0
19800;0.0;0.0;0.0;0.0;-0.0;25000.0
19860;0.0;0.0;0.0;0.0;-0.0;25000.0
19920;0.0;0.0;0.0;0.0;-0.0;25000.0
19980;0.0;0.0;0.0;0.0;-0.0;25000.0
20040;0.0;0.0;0.0;0.0;-0.0;25000.0
20100;0.0;0.0;0.0;0.0;-0.0;25000.0
20160;0.0;0.0;0.0;0.0;-0.0;25000.0
20220;0.0;0.0;0.0;0.0;-0.0;25000.0
20280;0.0;0.0;0.0;0.0;-0.0;25000.0
20340;0.0;0.0;0.0;0.0;-0.0;25000.0
20400;0.0;0.0;0.0;0.0;-0.0;25000.0
20460;0.0;0.0;0.0;0.0;-0.0;25000.0
20520;0.0;0.0;0.0;0.0;-0.0;25000.0
20580;0.0;0.0;0.0;0.0;-0.0;25000.0
20640;0.0;0.0;0.0;0.0;-0.0;25000.0
20700;0.0;0.0;0.0;0.0;-0.0;25000.0
20760;0.0;0.0;0.0;0.0;-0.0;25000.0
20820;0.0;0.0;0.0;0.0;-0.0;25000.0
20880;0.0;0.0;0.0;0.0;-0.0;25000.0
20940;0.0;0.0;0.0;0.0;-0.0;25000.0
21000;0.0;0.0;0.0;0.0;-0.0;25000.0
21060;0.0;0.0;0.0;0.0;-0.0;25000.0
21120;0.0;0.0;0.0;0.0;-0.0;25000.0
21180;0.0;0.0;0.0;0.0;-0.0;25000.0
21240;0.0;0.0;0.0;0.0;-0.0;25000.0
21300;0.0;0.0;0.0;0.0;-0.0;25000.0
