time;W-power.real.c.ELECTRICITY
48660;-21257.0
48720;2743.0
48780;-21253.0
48840;2747.0
48900;-21250.0
48960;2750.0
49020;-21246.0
49080;2753.0
49140;-21285.0
49200;2715.0
49260;-21281.0
49320;2723.0
49380;-21273.0
49440;2727.0
49500;-21277.0
49560;2722.0
49620;-21274.0
49680;2726.0
49740;-21271.0
49800;2729.0
49860;-21331.0
49920;2669.0
49980;-21328.0
50040;2672.0
50100;-21329.0
50160;2670.0
50220;-21326.0
50280;2674.0
50340;-21322.0
50400;2640.0
50460;-21356.0
50520;2644.0
50580;-21353.0
50640;2647.0
50700;-21349.0
50760;2651.0
50820;-21346.0
50880;2550.0
50940;-21446.0
51000;2553.0
51060;-21376.0
51120;2624.0
51180;-21372.0
51240;2627.0
51300;-21713.0
51360;2287.0
51420;-21604.0
51480;4191.0
51540;-21600.0
51600;2399.0
51660;-21597.0
51720;2403.0
51780;-21593.0
51840;2406.0
51900;-21590.0
51960;2410.0
52020;-21587.0
52080;2413.0
52140;-21650.0
52200;2010.0
52260;-21923.0
52320;2075.0
52380;-22089.0
52440;1909.0
52500;-22089.0
52560;1910.0
52620;-22088.0
52680;1911.0
52740;-22087.0
52800;1912.0
52860;-22086.0
52920;1912.0
52980;-22149.0
53040;1849.0
53100;-21714.0
53160;2294.0
53220;-21704.0
53280;2295.0
53340;-21703.0
53400;4296.0
53460;-19702.0
53520;2296.0
53580;-21701.0
53640;2297.0
53700;-21700.0
53760;2298.0
53820;-21699.0
53880;2299.0
53940;-21680.0
54000;1517.0
54060;-22481.0
54120;1518.0
54180;-22480.0
54240;1518.0
54300;-22479.0
54360;1519.0
54420;-22478.0
54480;1520.0
54540;-22478.0
54600;1521.0
54660;-22371.0
54720;1628.0
54780;-22303.0
54840;1695.0
54900;-22828.0
54960;2965.0
55020;-22827.0
55080;1171.0
55140;-22826.0
55200;1177.0
55260;-22821.0
55320;1178.0
55380;-22756.0
55440;1243.0
55500;-22755.0
55560;1243.0
55620;-22860.0
55680;1138.0
55740;-22859.0
55800;1659.0
55860;-22405.0
55920;1593.0
55980;-22404.0
56040;1594.0
56100;-22467.0
56160;1532.0
56220;-22466.0
56280;1533.0
56340;-22464.0
56400;1534.0
56460;-19915.0
56520;1535.0
56580;-22462.0
56640;1537.0
56700;-22234.0
56760;1764.0
56820;-22233.0
56880;1766.0
56940;-22232.0
57000;1767.0
57060;-22231.0
57120;1768.0
57180;-22229.0
57240;1769.0
57300;-22228.0
57360;1770.0
57420;-22227.0
57480;1771.0
57540;-22226.0
57600;1582.0
57660;-20325.0
57720;1588.0
57780;-22409.0
57840;1590.0
57900;-22302.0
57960;1697.0
58020;-22301.0
58080;1698.0
58140;-22300.0
58200;1719.0
58260;-22279.0
58320;1720.0
58380;-22277.0
58440;1721.0
58500;-22489.0
58560;1509.0
58620;-22488.0
58680;1511.0
58740;-22487.0
58800;1512.0
58860;-22592.0
58920;1407.0
58980;-22591.0
59040;1408.0
59100;-22590.0
59160;1408.0
59220;-22653.0
59280;1345.0
59340;-22652.0
59400;985.0
59460;-23012.0
59520;988.0
59580;-23076.0
59640;923.0
59700;-23073.0
59760;926.0
59820;-23071.0
59880;929.0
59940;-23068.0
60000;931.0
60060;-23066.0
60120;934.0
60180;-23063.0
60240;936.0
60300;-22525.0
60360;1474.0
60420;-22523.0
60480;1476.0
60540;-22522.0
60600;1477.0
60660;-22521.0
60720;1477.0
60780;-22522.0
60840;1475.0
60900;-22525.0
60960;1500.0
61020;-22496.0
61080;1613.0
61140;-22277.0
61200;1984.0
61260;-22012.0
61320;1989.0
61380;-22005.0
61440;2034.0
61500;-21254.0
61560;2768.0
61620;-21166.0
61680;2832.0
61740;-21166.0
61800;2832.0
61860;-21166.0
61920;4859.0
61980;-21166.0
62040;2832.0
62100;-21740.0
62160;2258.0
62220;-21673.0
62280;2324.0
62340;-21738.0
62400;2261.0
62460;-21737.0
62520;2261.0
62580;-21737.0
62640;2261.0
62700;-21737.0
62760;2261.0
62820;-21737.0
62880;3061.0
62940;-20937.0
63000;2117.0
63060;-21881.0
63120;2117.0
63180;-22681.0
63240;1317.0
63300;-22748.0
63360;1250.0
63420;-22748.0
63480;1250.0
63540;-22748.0
63600;1250.0
63660;-22748.0
63720;1250.0
63780;-22748.0
63840;1250.0
63900;-22487.0
63960;1511.0
64020;-22487.0
64080;1511.0
64140;-22487.0
64200;1511.0
64260;-22487.0
64320;1511.0
64380;-22381.0
64440;1617.0
64500;-22381.0
64560;1616.0
64620;-22382.0
64680;1616.0
64740;-22318.0
64800;1172.0
64860;-20915.0
64920;1172.0
64980;-22826.0
65040;1172.0
65100;-22826.0
65160;1172.0
65220;-22826.0
65280;1172.0
65340;-22932.0
65400;1066.0
65460;-22996.0
65520;1002.0
65580;-22996.0
65640;1002.0
65700;-22795.0
65760;1203.0
65820;-22795.0
65880;1203.0
65940;-22728.0
66000;3296.0
66060;-20703.0
66120;3295.0
66180;-20703.0
66240;3295.0
66300;-20703.0
66360;3295.0
66420;-20703.0
66480;3295.0
66540;-20703.0
66600;3885.0
66660;-20113.0
66720;1884.0
66780;-22114.0
66840;3968.0
66900;-22114.0
66960;1884.0
67020;-22181.0
67080;1817.0
67140;-22181.0
67200;3818.0
67260;-20180.0
67320;3818.0
67380;-20180.0
67440;3818.0
67500;-20418.0
67560;3580.0
67620;-20312.0
67680;1685.0
67740;-22313.0
67800;1685.0
67860;-22249.0
67920;1749.0
67980;-22249.0
68040;1749.0
68100;-22249.0
68160;1749.0
68220;-22249.0
68280;1749.0
68340;-22249.0
68400;1500.0
68460;-22498.0
68520;1475.0
68580;-22693.0
68640;1305.0
68700;-22693.0
68760;3505.0
68820;-22693.0
68880;1305.0
68940;-22693.0
69000;1305.0
69060;-22693.0
69120;1303.6562079999999
69180;-22692.0
69240;1305.294416
69300;-20865.0
69360;3132.921324
69420;-20865.0
69480;3132.921256
69540;-20865.0
69600;3132.921052
69660;-20797.0
69720;3200.920848
69780;-20797.0
69840;7253.920984
69900;-20797.0
69960;3200.921188
70020;-20797.0
70080;3200.058892
70140;-20797.0
70200;1859.551
70260;-22128.0
70320;1865.476852
70380;-22128.0
70440;1834.842786
70500;-22129.0
70560;1713.8835840000002
70620;-22129.0
70680;1710.61359
70740;-22196.0
70800;1643.209012
70860;-22090.0
70920;1749.681567
70980;-22026.0
71040;1813.345724
71100;-22892.0
71160;974.4166250000001
71220;-22892.0
71280;1092.08255
71340;-22892.0
71400;1101.5100320000001
71460;-22892.0
71520;-544.082112
71580;-22849.0
71640;-1988.8192560000002
71700;-22913.0
71760;-2022.713851
71820;-23019.0
71880;-2141.197256
71940;-23019.0
72000;-557.4646520000001
72060;-21432.0
72120;-548.653256
72180;-21432.0
72240;-555.2749699999999
72300;-21432.0
72360;-550.305863
72420;-21433.0
72480;-541.8015660000001
72540;-21432.0
72600;-552.703743
72660;-21433.0
72720;-553.8516479999998
72780;-21433.0
72840;-545.0161950000002
72900;-22967.0
72960;-2073.806122
73020;-22967.0
73080;-117.15472799999998
73140;-22967.0
73200;864.657376
73260;-22967.0
73320;869.794748
73380;-22900.0
73440;937.950176
73500;-22900.0
73560;939.227412
73620;-22900.0
73680;939.791924
73740;-22900.0
73800;583.073904
73860;-23204.0
73920;679.98636
73980;-19694.0
74040;4213.69728
74100;-19528.0
74160;4477.34368
74220;-19545.0
74280;4633.430944
74340;-17665.0
74400;6346.052792
74460;-17742.0
74520;2796.275984
74580;-21179.0
74640;2646.87975
74700;-21537.0
74760;2257.870464
74820;-21618.0
74880;2191.328085
74940;-21613.0
75000;2329.235776
75060;-23195.0
75120;261.14619200000004
75180;-21236.0
75240;246.88815999999997
75300;-23617.0
75360;259.53531799999996
75420;-23641.0
75480;185.95697999999993
75540;-23617.0
75600;1378.31456
75660;-22543.0
75720;1460.232372
75780;-22558.0
75840;3315.097228
75900;-22559.0
75960;-757.315008
76020;-22616.0
76080;-1724.846106
76140;-22550.0
76200;-1701.0340139999998
76260;-22559.0
76320;-1693.112712
76380;-22572.0
76440;-1682.8097779999998
76500;-22841.0
76560;-1927.4421889999999
76620;-22884.0
76680;-2001.529708
76740;-22877.0
76800;-1895.6764320000002
76860;-22744.0
76920;-1934.0934240000001
76980;-22765.0
77040;-1899.0761779999998
77100;-22747.0
77160;75.7677920000001
77220;-19944.0
77280;1185.035815
77340;-22638.0
77400;-1722.0782800000002
77460;-23005.0
77520;855.475325
77580;-22864.0
77640;1134.23168
77700;-22860.0
77760;1033.741888
77820;-23056.0
77880;1150.700592
77940;-22933.0
78000;859.704864
78060;-23176.0
78120;774.743296
78180;-21203.0
78240;707.741888
78300;-22334.0
78360;1660.737664
78420;-22334.0
78480;-560.6487440000001
78540;-22334.0
78600;1296.857128
78660;-22334.0
78720;1659.288975
78780;-22334.0
78840;1664.0
78900;-22334.0
78960;1665.0
79020;-22334.0
79080;1664.0
79140;-22334.0
79200;1176.0
79260;-22822.0
79320;1176.0
79380;-22822.0
79440;1176.0
79500;-22822.0
79560;1176.0
79620;-22822.0
79680;1176.0
79740;-22822.0
79800;1176.0
79860;-22822.0
79920;1176.0
79980;-22822.0
80040;1176.0
80100;-22773.0
80160;1225.0
80220;-22773.0
80280;1225.0
80340;-22709.0
80400;1289.0
80460;-22709.0
80520;1289.0
80580;-22603.0
80640;1395.0
80700;-22603.0
80760;1395.0
80820;-22536.0
80880;1462.0
80940;-22536.0
81000;1499.0
81060;-22563.0
81120;1435.0
81180;-22563.0
81240;1435.0
81300;-22563.0
81360;1435.0
81420;-22563.0
81480;1188.0
81540;-22916.0
81600;1082.0
81660;-22916.0
81720;1082.0
81780;-22916.0
81840;1064.0
81900;-22721.0
81960;1277.0
82020;-22721.0
82080;1277.0
82140;-22721.0
82200;1277.0
82260;-22721.0
82320;1277.0
82380;-22722.0
82440;1276.0
82500;-22722.0
82560;1276.0
82620;-22722.0
82680;1276.0
82740;-22735.0
82800;1244.0
82860;-22754.0
82920;1244.0
82980;-22754.0
83040;1225.0
83100;-22773.0
83160;1225.0
83220;-22773.0
83280;1225.0
83340;-22773.0
83400;1225.0
83460;-23250.0
83520;748.0
83580;-23250.0
83640;748.0
83700;-22772.0
83760;1226.0
83820;-22666.0
83880;1332.0
83940;-22666.0
84000;1332.0
84060;-22666.0
84120;1332.0
84180;-22730.0
84240;1268.0
84300;-22730.0
84360;1268.0
84420;-22730.0
84480;1268.0
84540;-22663.0
84600;1364.0
84660;-22634.0
84720;1364.0
84780;-22740.0
84840;1258.0
84900;-22740.0
84960;1258.0
85020;-22740.0
85080;1258.0
85140;-22740.0
85200;1258.0
85260;-22740.0
85320;1258.0
85380;-22740.0
85440;1258.0
85500;-22800.0
85560;1198.0
85620;-22867.0
85680;1131.0
85740;-22867.0
85800;1131.0
85860;-22867.0
85920;1131.0
