time;SmartMeter-House-8: W-power.real.c.ELECTRICITY;Load-House-8: W-power.real.c.ELECTRICITY;WashingMachine-House-8: W-power.real.c.ELECTRICITY;Dishwasher-House-8: W-power.real.c.ELECTRICITY;Battery-House-8: W-power.real.c.ELECTRICITY;Battery-House-8: Wh-energy.soc;Heatpump-House-8: W-power.real.c.ELECTRICITY;Heatpump-House-8: Wh-energy.soc;DomesticHotWaterControllerBoiler-House-8: W-power.real.c.ELECTRICITY;DomesticHotWaterControllerBoiler-House-8: Wh-energy.soc
594240;660.0;392.0;0.0;0.0;254.0;5000;14.614510980123205;11439.162436561895;0.0;0.0
594300;660.0;392.0;0.0;0.0;254.0;-1;14.614510980123205;11365.136737293904;0.0;0.0
594360;660.0;392.0;0.0;0.0;254.0;5000;14.614510980123205;11291.111038025912;0.0;0.0
594420;660.0;392.0;0.0;0.0;254.0;-1;14.614510980123205;11217.08533875792;0.0;0.0
594480;660.0;392.0;0.0;0.0;254.0;5000;14.614510980123205;11143.05963948993;0.0;0.0
594540;660.0;392.0;0.0;0.0;254.0;-1;14.614510980123205;11069.033940221938;0.0;0.0
594600;660.0;392.0;0.0;0.0;254.0;5000;14.614510980123205;10995.008240953946;0.0;0.0
594660;660.0;392.0;0.0;0.0;254.0;-1;14.614510980123205;10920.982541685955;0.0;0.0
594720;660.0;392.0;0.0;0.0;254.0;5000;14.614510980123205;10846.956842417963;0.0;0.0
594780;660.0;392.0;0.0;0.0;254.0;-1;14.614510980123205;10772.931143149972;0.0;0.0
594840;660.0;392.0;0.0;0.0;254.0;5000;14.614510980123205;10698.90544388198;0.0;0.0
594900;402.0;392.0;0.0;0.0;-4.0;-1;14.614510980123205;10624.879744613989;0.0;0.0
594960;402.0;444.0;0.0;0.0;-56.0;5000;14.614510980123205;10550.854045345997;0.0;0.0
595020;402.0;444.0;0.0;0.0;-56.0;-1;14.614510980123205;10476.828346078006;0.0;0.0
595080;402.0;444.0;0.0;0.0;-56.0;5000;14.614510980123205;10402.802646810014;0.0;0.0
595140;402.0;444.0;0.0;0.0;-56.0;-1;14.614510980123205;10328.776947542023;0.0;0.0
595200;402.0;444.0;0.0;0.0;-56.0;5000;14.614510980123205;10254.751248274031;0.0;0.0
595260;402.0;444.0;0.0;0.0;-56.0;-1;14.614510980123205;10180.72554900604;0.0;0.0
595320;402.0;444.0;0.0;0.0;-56.0;5000;14.614510980123205;10106.699849738048;0.0;0.0
595380;402.0;444.0;0.0;0.0;-56.0;-1;14.614510980123205;10032.674150470057;0.0;0.0
595440;402.0;444.0;0.0;0.0;-56.0;5000;14.614510980123205;9958.648451202065;0.0;0.0
595500;402.0;444.0;0.0;0.0;-56.0;-1;14.614510980123205;9884.622751934074;0.0;0.0
595560;402.0;444.0;0.0;0.0;-56.0;5000;14.614510980123205;9810.597052666082;0.0;0.0
595620;402.0;444.0;0.0;0.0;-56.0;-1;14.614510980123205;9736.57135339809;0.0;0.0
595680;402.0;444.0;0.0;0.0;-56.0;5000;14.614510980123205;9662.5456541301;0.0;0.0
595740;402.0;444.0;0.0;0.0;-56.0;-1;14.614510980123205;9588.519954862108;0.0;0.0
595800;461.0;392.0;0.0;0.0;55.0;5000;14.614510980123205;9514.494255594116;0.0;0.0
595860;461.0;392.0;0.0;0.0;55.0;-1;14.614510980123205;9440.468556326125;0.0;0.0
595920;461.0;392.0;0.0;0.0;55.0;5000;14.614510980123205;9366.442857058133;0.0;0.0
595980;461.0;392.0;0.0;0.0;55.0;-1;14.614510980123205;9292.417157790142;0.0;0.0
596040;461.0;392.0;0.0;0.0;55.0;5000;14.614510980123205;9218.39145852215;0.0;0.0
