time;SmartMeter-House-1: W-power.real.c.ELECTRICITY;Load-House-1: W-power.real.c.ELECTRICITY;WashingMachine-House-1: W-power.real.c.ELECTRICITY;Dishwasher-House-1: W-power.real.c.ELECTRICITY;ElectricVehicle-House-1: W-power.real.c.ELECTRICITY;ElectricVehicle-House-1: Wh-energy.soc;Heatpump-House-1: W-power.real.c.ELECTRICITY;Heatpump-House-1: Wh-energy.soc;DomesticHotWaterControllerBoiler-House-1: W-power.real.c.ELECTRICITY;DomesticHotWaterControllerBoiler-House-1: Wh-energy.soc
318240;1318.0;304.0;0.0;0.0;0.0;0.0;1080.9513093582673;12034.972409877308;0.0;0.0
318300;1318.0;304.0;0.0;0.0;50000.0;0.0;1080.9513093582673;12032.035830501192;0.0;0.0
318360;1319.0;304.0;0.0;0.0;0.0;50000.0;1080.9513093582673;12029.099251125077;0.0;0.0
318420;1319.0;304.0;0.0;0.0;0.0;0.0;1080.9513093582673;12026.162671748962;0.0;0.0
318480;1320.0;304.0;0.0;0.0;50000.0;0.0;1080.9513093582673;12023.226092372846;0.0;0.0
318540;1320.0;304.0;0.0;0.0;0.0;50000.0;1080.9513093582673;12020.289512996731;0.0;0.0
318600;1306.0;304.0;0.0;0.0;0.0;0.0;1065.570987850791;12017.352933620616;0.0;0.0
318660;1306.0;304.0;0.0;0.0;50000.0;0.0;1065.570987850791;12013.390999477335;0.0;0.0
318720;1307.0;304.0;0.0;0.0;0.0;50000.0;1065.570987850791;12009.429065334054;0.0;0.0
318780;1308.0;304.0;0.0;0.0;0.0;0.0;1065.570987850791;12005.467131190773;0.0;0.0
318840;1309.0;304.0;0.0;0.0;50000.0;0.0;1065.570987850791;12001.505197047492;0.0;0.0
318900;1377.0;371.0;0.0;0.0;0.0;50000.0;1065.570987850791;11997.543262904212;0.0;0.0
318960;1377.0;371.0;0.0;0.0;0.0;0.0;1065.570987850791;11993.58132876093;0.0;0.0
319020;1378.0;371.0;0.0;0.0;50000.0;0.0;1065.570987850791;11989.61939461765;0.0;0.0
319080;1379.0;371.0;0.0;0.0;0.0;50000.0;1065.570987850791;11985.65746047437;0.0;0.0
319140;1380.0;371.0;0.0;0.0;0.0;0.0;1065.570987850791;11981.695526331088;0.0;0.0
319200;1381.0;371.0;0.0;0.0;50000.0;0.0;1065.570987850791;11977.733592187808;0.0;0.0
319260;1381.0;371.0;0.0;0.0;0.0;50000.0;1065.570987850791;11973.771658044527;0.0;0.0
319320;1382.0;371.0;0.0;0.0;0.0;0.0;1065.570987850791;12044.809723901246;0.0;0.0
319380;1383.0;371.0;0.0;0.0;50000.0;0.0;1065.570987850791;12115.847789757965;0.0;0.0
319440;1384.0;371.0;0.0;0.0;0.0;50000.0;1065.570987850791;12186.885855614684;0.0;0.0
319500;931.0;371.0;0.0;0.0;0.0;0.0;612.3958677851593;12257.923921471403;0.0;0.0
319560;1083.0;522.0;0.0;0.0;50000.0;0.0;612.3958677851593;12298.750312657081;0.0;0.0
319620;1011.0;449.0;0.0;0.0;0.0;50000.0;612.3958677851593;12339.576703842758;0.0;0.0
319680;1012.0;449.0;0.0;0.0;0.0;0.0;612.3958677851593;12380.403095028436;0.0;0.0
319740;3213.0;449.0;0.0;0.0;50000.0;0.0;612.3958677851593;12421.229486214113;2200.5;0.0
319800;1013.0;449.0;0.0;0.0;0.0;50000.0;612.3958677851593;12462.055877399791;0.0;0.0
319860;1014.0;449.0;0.0;0.0;0.0;0.0;612.3958677851593;12502.882268585468;0.0;0.0
319920;1015.0;449.0;0.0;0.0;50000.0;0.0;612.3958677851593;12543.708659771146;0.0;0.0
319980;948.0;382.0;0.0;0.0;0.0;50000.0;612.3958677851593;12584.535050956823;0.0;0.0
320040;949.0;382.0;0.0;0.0;0.0;0.0;612.3958677851593;12625.3614421425;0.0;0.0
320100;950.0;382.0;0.0;0.0;50000.0;0.0;612.3958677851593;12666.187833328178;0.0;0.0
320160;950.0;382.0;0.0;0.0;0.0;50000.0;612.3958677851593;12707.014224513856;0.0;0.0
320220;951.0;382.0;0.0;0.0;0.0;0.0;612.3958677851593;12747.840615699533;0.0;0.0
320280;952.0;382.0;0.0;0.0;50000.0;0.0;612.3958677851593;12788.66700688521;0.0;0.0
320340;952.0;382.0;0.0;0.0;0.0;50000.0;612.3958677851593;12829.493398070888;0.0;0.0
320400;380.0;382.0;0.0;0.0;0.0;0.0;39.447500189979564;12870.319789256566;0.0;0.0
320460;380.0;382.0;0.0;0.0;50000.0;0.0;39.447500189979564;12872.949622602564;0.0;0.0
320520;386.0;382.0;0.0;0.0;0.0;50000.0;39.447500189979564;12875.579455948562;0.0;0.0
320580;451.0;446.0;0.0;0.0;0.0;0.0;39.447500189979564;12878.20928929456;0.0;0.0
320640;2826.0;446.0;0.0;0.0;50000.0;0.0;39.447500189979564;12880.839122640558;2374.25;0.0
320700;453.0;446.0;0.0;0.0;0.0;50000.0;39.447500189979564;12883.468955986556;0.0;0.0
320760;3233.0;446.0;0.0;0.0;0.0;0.0;39.447500189979564;12886.098789332555;2779.5;0.0
320820;454.0;446.0;0.0;0.0;50000.0;0.0;39.447500189979564;12888.728622678553;0.0;0.0
320880;455.0;446.0;0.0;0.0;0.0;50000.0;39.447500189979564;12891.35845602455;0.0;0.0
320940;565.0;555.0;0.0;0.0;0.0;0.0;39.447500189979564;12893.988289370549;0.0;0.0
321000;594.0;555.0;0.0;0.0;50000.0;0.0;39.447500189979564;12896.618122716547;0.0;0.0
321060;594.0;555.0;0.0;0.0;0.0;50000.0;39.447500189979564;12899.247956062545;0.0;0.0
321120;594.0;555.0;0.0;0.0;0.0;0.0;39.447500189979564;12901.877789408543;0.0;0.0
321180;594.0;555.0;0.0;0.0;50000.0;0.0;39.447500189979564;12904.507622754541;0.0;0.0
321240;594.0;555.0;0.0;0.0;0.0;50000.0;39.447500189979564;12907.13745610054;0.0;0.0
321300;530.0;491.0;0.0;0.0;0.0;0.0;39.447500189979564;12909.767289446538;0.0;0.0
321360;530.0;491.0;0.0;0.0;50000.0;0.0;39.447500189979564;12912.397122792536;0.0;0.0
321420;530.0;491.0;0.0;0.0;0.0;50000.0;39.447500189979564;12915.026956138534;0.0;0.0
321480;530.0;491.0;0.0;0.0;0.0;0.0;39.447500189979564;12917.656789484532;0.0;0.0
321540;530.0;491.0;0.0;0.0;50000.0;0.0;39.447500189979564;12920.28662283053;0.0;0.0
321600;530.0;491.0;0.0;0.0;0.0;50000.0;39.447500189979564;12922.916456176528;0.0;0.0
321660;530.0;491.0;0.0;0.0;0.0;0.0;39.447500189979564;12925.546289522526;0.0;0.0
321720;530.0;491.0;0.0;0.0;50000.0;0.0;39.447500189979564;12928.176122868525;0.0;0.0
321780;530.0;491.0;0.0;0.0;0.0;50000.0;39.447500189979564;12930.805956214523;0.0;0.0
321840;530.0;491.0;0.0;0.0;0.0;0.0;39.447500189979564;12933.43578956052;0.0;0.0
321900;530.0;491.0;0.0;0.0;50000.0;0.0;39.447500189979564;12936.065622906519;0.0;0.0
321960;530.0;491.0;0.0;0.0;0.0;50000.0;39.447500189979564;12938.695456252517;0.0;0.0
322020;530.0;491.0;0.0;0.0;0.0;0.0;39.447500189979564;12941.325289598515;0.0;0.0
322080;530.0;491.0;0.0;0.0;50000.0;0.0;39.447500189979564;12943.955122944513;0.0;0.0
322140;530.0;491.0;0.0;0.0;0.0;50000.0;39.447500189979564;12946.584956290511;0.0;0.0
322200;1510.0;491.0;0.0;0.0;0.0;0.0;39.447500189979564;12949.21478963651;0.0;0.0
322260;1510.0;491.0;0.0;0.0;50000.0;0.0;39.447500189979564;12951.844622982508;0.0;0.0
322320;3826.0;491.0;0.0;0.0;0.0;50000.0;39.447500189979564;12954.474456328506;2316.25;0.0
322380;1510.0;491.0;0.0;0.0;0.0;0.0;39.447500189979564;12957.104289674504;0.0;0.0
322440;1510.0;491.0;0.0;0.0;50000.0;0.0;39.447500189979564;12959.734123020502;0.0;0.0
322500;1510.0;491.0;0.0;0.0;0.0;50000.0;39.447500189979564;12962.3639563665;0.0;0.0
322560;1510.0;491.0;0.0;0.0;0.0;0.0;39.447500189979564;12964.993789712498;0.0;0.0
322620;1577.0;558.0;0.0;0.0;50000.0;0.0;39.447500189979564;12967.623623058496;0.0;0.0
322680;1577.0;558.0;0.0;0.0;0.0;50000.0;39.447500189979564;12970.253456404495;0.0;0.0
322740;1577.0;558.0;0.0;0.0;0.0;0.0;39.447500189979564;12972.883289750493;0.0;0.0
322800;1602.0;583.0;0.0;0.0;50000.0;0.0;39.447500189979564;12975.51312309649;0.0;0.0
322860;1602.0;583.0;0.0;0.0;0.0;50000.0;39.447500189979564;12978.142956442489;0.0;0.0
322920;1602.0;583.0;0.0;0.0;0.0;0.0;39.447500189979564;12980.772789788487;0.0;0.0
322980;1602.0;583.0;0.0;0.0;50000.0;0.0;39.447500189979564;12983.402623134485;0.0;0.0
323040;1602.0;583.0;0.0;0.0;0.0;50000.0;39.447500189979564;12986.032456480483;0.0;0.0
323100;1602.0;583.0;0.0;0.0;0.0;0.0;39.447500189979564;12988.662289826481;0.0;0.0
323160;1602.0;583.0;0.0;0.0;50000.0;0.0;39.447500189979564;12991.29212317248;0.0;0.0
323220;1602.0;583.0;0.0;0.0;0.0;50000.0;39.447500189979564;12993.921956518478;0.0;0.0
323280;1602.0;583.0;0.0;0.0;0.0;0.0;39.447500189979564;12996.551789864476;0.0;0.0
323340;1602.0;583.0;0.0;0.0;50000.0;0.0;39.447500189979564;12999.181623210474;0.0;0.0
323400;1602.0;583.0;0.0;0.0;0.0;50000.0;39.447500189979564;13001.811456556472;0.0;0.0
323460;1602.0;583.0;0.0;0.0;0.0;0.0;39.447500189979564;13004.44128990247;0.0;0.0
323520;1602.0;583.0;0.0;0.0;50000.0;0.0;39.447500189979564;13007.071123248468;0.0;0.0
323580;1602.0;583.0;0.0;0.0;0.0;50000.0;39.447500189979564;13009.700956594466;0.0;0.0
323640;1602.0;583.0;0.0;0.0;0.0;0.0;39.447500189979564;13012.330789940464;0.0;0.0
323700;1599.0;580.0;0.0;0.0;50000.0;0.0;39.447500189979564;13014.960623286463;0.0;0.0
323760;1599.0;580.0;0.0;0.0;0.0;50000.0;39.447500189979564;13017.59045663246;0.0;0.0
323820;1599.0;580.0;0.0;0.0;0.0;0.0;39.447500189979564;13020.220289978459;0.0;0.0
323880;1599.0;580.0;0.0;0.0;50000.0;0.0;39.447500189979564;13022.850123324457;0.0;0.0
323940;1599.0;580.0;0.0;0.0;0.0;50000.0;39.447500189979564;13025.479956670455;0.0;0.0
324000;1599.0;580.0;0.0;0.0;0.0;0.0;39.447500189979564;13028.109790016453;0.0;0.0
324060;1599.0;580.0;0.0;0.0;50000.0;0.0;39.447500189979564;13030.739623362451;0.0;0.0
324120;1599.0;580.0;0.0;0.0;0.0;50000.0;39.447500189979564;13033.36945670845;0.0;0.0
324180;1599.0;580.0;0.0;0.0;0.0;0.0;39.447500189979564;13035.999290054448;0.0;0.0
324240;1599.0;580.0;0.0;0.0;50000.0;0.0;39.447500189979564;13038.629123400446;0.0;0.0
324300;1599.0;580.0;0.0;0.0;0.0;50000.0;39.447500189979564;13041.258956746444;0.0;0.0
324360;1599.0;580.0;0.0;0.0;0.0;0.0;39.447500189979564;13043.888790092442;0.0;0.0
