time;SmartMeter-House-4: W-power.real.c.ELECTRICITY;Load-House-4: W-power.real.c.ELECTRICITY;WashingMachine-House-4: W-power.real.c.ELECTRICITY;ElectricVehicle-House-4: W-power.real.c.ELECTRICITY;ElectricVehicle-House-4: Wh-energy.soc
454860;1545.0;96.0;1000.0;10000.0;0.0
454920;1545.0;96.0;1000.0;0.0;10000.0
454980;1545.0;96.0;1000.0;0.0;0.0
455040;1545.0;96.0;1000.0;10000.0;0.0
455100;1545.0;96.0;1000.0;0.0;10000.0
455160;1545.0;96.0;1000.0;0.0;0.0
455220;1545.0;96.0;1000.0;10000.0;0.0
455280;1545.0;96.0;1000.0;0.0;10000.0
455340;1545.0;96.0;1000.0;0.0;0.0
455400;1545.0;96.0;1000.0;10000.0;0.0
455460;1545.0;96.0;1000.0;0.0;10000.0
455520;1545.0;96.0;1000.0;0.0;0.0
455580;1545.0;96.0;1000.0;10000.0;0.0
455640;1545.0;96.0;1000.0;0.0;10000.0
455700;1545.0;96.0;1000.0;0.0;0.0
455760;1545.0;96.0;1000.0;10000.0;0.0
455820;1545.0;96.0;1000.0;0.0;10000.0
455880;1545.0;96.0;1000.0;0.0;0.0
455940;1545.0;96.0;1000.0;10000.0;0.0
456000;1545.0;96.0;1000.0;0.0;10000.0
456060;1545.0;96.0;1000.0;0.0;0.0
456120;1545.0;96.0;1000.0;10000.0;0.0
456180;1545.0;96.0;1000.0;0.0;10000.0
456240;1545.0;96.0;1000.0;0.0;0.0
456300;2343.0;96.0;1000.0;10000.0;0.0
456360;2343.0;96.0;1000.0;0.0;10000.0
456420;2449.0;202.0;1000.0;0.0;0.0
456480;2449.0;202.0;1000.0;10000.0;0.0
456540;2449.0;202.0;1000.0;0.0;10000.0
456600;2449.0;202.0;1000.0;0.0;0.0
456660;2449.0;202.0;1000.0;10000.0;0.0
456720;2449.0;202.0;1000.0;0.0;10000.0
456780;2449.0;202.0;1000.0;0.0;0.0
456840;2449.0;202.0;1000.0;10000.0;0.0
456900;2449.0;202.0;1000.0;0.0;10000.0
456960;2449.0;202.0;1000.0;0.0;0.0
457020;2449.0;202.0;1000.0;10000.0;0.0
457080;2449.0;202.0;1000.0;0.0;10000.0
457140;2449.0;202.0;1000.0;0.0;0.0
457200;2449.0;202.0;1000.0;10000.0;0.0
457260;2449.0;202.0;1000.0;0.0;10000.0
457320;2449.0;202.0;1000.0;0.0;0.0
457380;2343.0;96.0;1000.0;10000.0;0.0
457440;2343.0;96.0;1000.0;0.0;10000.0
457500;2343.0;96.0;1000.0;0.0;0.0
457560;2343.0;96.0;1000.0;10000.0;0.0
457620;2343.0;96.0;1000.0;0.0;10000.0
457680;2343.0;96.0;1000.0;0.0;0.0
457740;2343.0;96.0;1000.0;10000.0;0.0
457800;2343.0;96.0;1000.0;0.0;10000.0
457860;2343.0;96.0;1000.0;0.0;0.0
457920;2343.0;96.0;1000.0;10000.0;0.0
